runId,time,bossX,bossZ,playerX,playerZ,distance,bossHP,playerHP
1775584035,0.0,0.0,10.0,0.0,0.0,10.0,100,100
1775584035,0.1027,0.0775,9.8186,0.0,0.0,9.8189,100,100
1775584035,0.2045,0.0768,9.6631,0.0,0.0,9.6634,100,100
1775584035,0.3047,0.2313,9.5065,0.0,0.0,9.5093,100,100
1775584035,0.4051,0.2545,9.3136,0.0,0.0,9.3171,100,100
1775584035,0.5058,0.3792,9.098,0.0,0.0,9.1059,100,100
1775584035,0.6079,0.3027,8.767,0.0,0.0,8.7722,100,100
1775584035,0.7099,0.2781,8.6901,0.0,0.0,8.6945,100,100
1775584035,0.8135,0.3174,8.3035,0.0,0.0,8.3096,100,100
1775584035,0.919,0.3337,8.0268,0.0,0.0,8.0337,100,100
1775584035,1.0228,0.4285,7.8027,0.0,0.0,7.8144,100,100
1775584035,1.1248,0.4159,7.5279,0.0,0.0,7.5394,100,100
1775584035,1.2291,0.3038,7.363,0.0,0.0,7.3692,100,100
1775584035,1.3327,0.1101,7.3457,0.0,0.0,7.3465,100,100
1775584035,1.4393,0.0271,7.1673,0.0,0.0,7.1674,100,100
1775584035,1.5413,0.1798,7.009,0.0,0.0,7.0113,100,100
1775584035,1.6451,0.2276,6.8229,0.0,0.0,6.8266,100,100
1775584035,1.7498,0.2222,6.6229,0.0,0.0,6.6267,100,100
1775584035,1.8527,0.3477,6.4893,0.0,0.0,6.4986,100,100
1775584035,1.9554,0.3383,6.2395,0.0001,0.0067,6.242,100,100
1775584035,2.0603,0.4301,5.9646,0.0106,0.1533,5.8264,100,100
1775584035,2.1639,0.4634,6.0871,0.0371,0.4175,5.6856,100,100
1775584035,2.2682,0.5008,5.8655,0.0798,0.8022,5.0808,100,100
1775584035,2.3689,0.5728,5.7824,0.1223,1.1655,4.6387,100,100
1775584035,2.4718,0.5728,5.7824,0.1756,1.5436,4.2573,100,100
1775584035,2.5746,0.55,5.4916,0.2446,1.9278,3.5768,100,100
1775584035,2.6799,0.5474,5.4583,0.3222,2.315,3.1514,100,100
1775584035,2.786,0.6372,5.3182,0.4058,2.7709,2.5577,100,100
1775584035,2.8886,0.7037,5.3132,0.457,3.1663,2.161,100,100
1775584035,2.9889,0.68,5.1087,0.4931,3.564,1.556,100,100
1775584035,3.0975,0.6411,4.7892,0.5119,3.9357,0.8632,100,100
1775584035,3.1984,0.5954,4.4639,0.4687,3.6568,0.817,100,100
1775584035,3.3011,0.5475,4.1486,0.4115,3.2951,0.8642,100,100
1775584035,3.403,0.4985,3.8369,0.3622,2.9873,0.8605,100,100
1775584035,3.5053,0.4489,3.5255,0.3121,2.6759,0.8605,100,100
1775584035,3.6121,0.3967,3.2004,0.2628,2.37,0.8412,100,100
1775584035,3.7184,0.3447,2.8777,0.2072,2.025,0.8637,100,95
1775584035,3.823,0.3152,2.6945,0.1759,1.831,0.8747,100,95
1775584035,3.9275,0.3152,2.6945,0.1758,1.8307,0.875,100,95
1775584035,4.0318,0.3152,2.6945,0.1758,1.8307,0.875,100,95
1775584035,4.1351,0.3152,2.6945,0.1758,1.8307,0.875,100,95
1775584035,4.2378,0.3152,2.6945,0.1758,1.8307,0.875,100,95
1775584035,4.3446,0.3152,2.6945,0.1758,1.8307,0.875,100,95
1775584035,4.4507,0.3868,2.5297,0.1405,1.696,0.8694,100,95
1775584035,4.5582,0.3346,2.3531,0.0916,1.5305,0.8578,98,95
1775584035,4.664,0.2836,2.1803,0.0418,1.3616,0.8537,98,95
1775584035,4.7658,0.2343,2.0136,-0.0046,1.2047,0.8434,98,92
1775584035,4.8674,0.1964,1.885,-0.0513,1.0466,0.8742,98,92
1775584035,4.9705,0.1964,1.885,-0.0515,1.0459,0.875,98,92
1775584035,5.0728,0.1964,1.885,-0.0515,1.0459,0.875,98,92
1775584035,5.1786,0.1964,1.885,-0.0515,1.0459,0.875,98,92
1775584035,5.2822,0.1964,1.885,-0.0515,1.0459,0.875,98,92
1775584035,5.386,0.3107,2.2722,-0.0515,1.0459,1.2787,98,92
1775584035,5.4872,0.4763,2.8328,-0.0515,1.0459,1.8632,98,92
1775584035,5.594,0.6492,3.418,-0.0515,1.0459,2.4735,98,92
1775584035,5.6976,0.8197,3.9954,-0.0515,1.0459,3.0755,98,92
1775584035,5.7993,0.9889,4.5681,-0.0515,1.0459,3.6726,98,92
1775584035,5.9044,1.1628,5.1567,-0.0486,1.065,4.2673,98,92
1775584035,6.0049,1.3286,5.7179,0.0007,1.2299,4.6803,98,92
1775584035,6.1078,1.3446,5.5889,0.1011,1.4902,4.2832,98,92
1775584035,6.2096,1.397,5.4922,0.2302,1.8001,3.8721,98,92
1775584035,6.3153,1.2678,5.4227,0.3743,2.1363,3.4057,98,92
1775584035,6.4178,1.1398,4.9726,0.5537,2.5451,2.4972,98,92
1775584035,6.5238,1.1498,4.8088,0.7147,2.9018,1.956,98,92
1775584035,6.6285,0.9577,4.7745,0.8812,3.2604,1.5161,98,92
1775584035,6.7358,1.0053,4.6426,1.0427,3.6948,0.9485,98,92
1775584035,6.8432,0.8419,4.6385,1.1134,3.8169,0.8653,98,92
1775584035,6.9434,0.8946,4.4762,1.1712,3.6649,0.8571,96,92
1775584035,7.0505,0.9509,4.3082,1.233,3.4843,0.8709,96,92
1775584035,7.1535,1.0099,4.1351,1.3155,3.3235,0.8671,96,89
1775584035,7.2538,1.0673,3.9744,1.3622,3.1564,0.8696,96,89
1775584035,7.3597,1.0708,3.9648,1.4433,3.1755,0.8727,96,89
1775584035,7.4622,1.0708,3.9648,1.5287,3.2233,0.8715,96,89
1775584035,7.5641,1.0708,3.9648,1.5576,3.2417,0.8717,96,89
1775584035,7.665,1.0708,3.9648,1.6078,3.2742,0.8748,96,89
1775584035,7.7658,1.135,3.9717,1.5762,3.2217,0.8702,96,89
1775584035,7.8692,1.2179,3.9325,1.6012,3.1587,0.8635,96,89
1775584035,7.9754,1.3354,3.8191,1.7075,3.0372,0.8659,96,89
1775584035,8.08,1.5434,3.7475,1.74,2.8981,0.8718,96,89
1775584035,8.1803,1.6781,3.6618,1.7722,2.7942,0.8726,96,89
1775584035,8.285,1.493,3.5334,1.7715,2.624,0.9511,96,89
1775584035,8.3865,1.5039,3.3159,1.6957,2.3531,0.9817,96,89
1775584035,8.4865,1.5721,3.0089,1.539,2.055,0.9544,96,89
1775584035,8.5895,1.5828,2.6933,1.3104,1.7689,0.9636,96,89
1775584035,8.6927,1.5204,2.3824,1.0347,1.5043,1.0035,96,89
1775584035,8.7951,1.3925,2.095,0.7362,1.2524,1.068,96,89
1775584035,8.8962,1.2229,1.842,0.4241,1.0103,1.1531,96,89
1775584035,8.9966,1.0111,1.5982,0.1039,0.7751,1.2249,96,89
1775584035,9.0967,0.7946,1.3876,-0.2204,0.5434,1.3202,96,89
1775584035,9.2046,0.5705,1.1921,-0.6043,0.2796,1.4876,96,84
1775584035,9.3107,0.5705,1.1921,-0.9436,0.0685,1.8855,96,84
1775584035,9.4135,0.5705,1.1921,-1.2711,-0.1603,2.2848,96,84
1775584035,9.5204,0.5705,1.1921,-1.6039,-0.4866,2.747,96,84
1775584035,9.6206,0.5705,1.1921,-1.8594,-0.7942,3.1384,96,84
1775584035,9.7276,0.3528,1.0125,-2.1081,-1.1075,3.2481,96,84
1775584035,9.8294,0.1125,0.8072,-2.2978,-1.4199,3.2818,96,84
1775584035,9.9303,-0.1175,0.5974,-2.3473,-1.7317,3.2244,96,84
1775584035,10.0368,-0.3506,0.3586,-2.2249,-2.1003,3.0918,96,84
1775584035,10.143,-0.5551,0.1047,-1.9372,-2.327,2.7971,96,84
1775584035,10.2486,-0.7291,-0.1773,-1.6072,-2.3567,2.3496,96,84
1775584035,10.3546,-0.8613,-0.4783,-1.2148,-2.1888,1.7466,96,84
1775584035,10.4594,-0.9408,-0.7921,-0.8639,-2.0362,1.2464,96,79
1775584035,10.5597,-0.9511,-0.8939,-0.5065,-2.0002,1.1923,96,79
1775584035,10.6628,-0.9511,-0.8939,-0.1436,-2.0687,1.4256,96,79
1775584035,10.7669,-0.9511,-0.8939,0.2701,-2.2352,1.8139,96,79
1775584035,10.8775,-0.9511,-0.8939,0.6178,-2.4132,2.184,96,79
1775584035,10.9798,-0.8959,-0.9444,0.9757,-2.5797,2.4854,96,79
1775584035,11.0804,-0.7686,-1.0563,1.3548,-2.6975,2.6836,96,79
1775584035,11.1869,-0.6293,-1.1673,1.8163,-2.7378,2.9065,96,79
1775584035,11.2914,-0.4786,-1.2703,2.1844,-2.5916,2.9728,96,79
1775584035,11.3939,-0.3798,-1.3266,2.4261,-2.2963,2.9687,96,79
1775584035,11.4976,-0.3798,-1.3266,2.4875,-1.936,2.9313,96,79
1775584035,11.6032,-0.3798,-1.3266,2.318,-1.5342,2.7058,96,79
1775584035,11.7061,-0.3798,-1.3266,1.9948,-1.3036,2.3747,96,79
1775584035,11.8142,-0.3798,-1.3266,1.6109,-1.196,1.995,96,79
1775584035,11.915,-0.3631,-1.3251,1.2118,-1.1775,1.5818,96,79
1775584035,12.0163,-0.3076,-1.32,0.8133,-1.2107,1.1263,96,79
1775584035,12.1198,-0.2527,-1.3148,0.6169,-1.2387,0.8729,94,79
1775584035,12.2267,-0.1939,-1.3096,0.6728,-1.2469,0.8689,94,79
1775584035,12.3327,-0.1345,-1.306,0.7303,-1.3138,0.8648,94,79
1775584035,12.4327,-0.0807,-1.306,0.7854,-1.3587,0.8677,94,79
