runId,mode,scene,winner,endReason,fightDurationSeconds,bossStartHP,bossFinalHP,playerStartHP,playerFinalHP,firstSuccessfulHitBy,firstSuccessfulHitTime,firstSuccessfulHitDamage,bossAttackAttempts,bossAttackHits,bossAttackMisses,bossAttackAccuracy,bossTotalDamageDealt,bossTotalDamageTaken,bossDamagePerSecond,bossAverageDamagePerHit,bossMaxSingleHitDamage,bossAttackOneHandAttempts,bossAttackOneHandHits,bossAttackTwoHandAttempts,bossAttackTwoHandHits,bossAttackSpinAttempts,bossAttackSpinHits,bossPunchLeftAttempts,bossPunchLeftHits,bossUniqueAttackTypesUsed,bossAttackEntropy,bossMaxSameAttackStreak,bossMaxHitStreak,bossRollCount,bossRetreatCount,bossStrafeLeftCount,bossStrafeRightCount,bossForwardMoveCount,averageDistance,minDistance,maxDistance,timeTooClose,timeIdealRange,timeTooFar,bossTimeNearEdge,playerTimeNearEdge,timeAnyNearEdge,longestNoDamageWindow
1775591919,Classic,ArenaClassic,Player,BossDeath,79.6167,100,0,100,20,Player,3.15,2,24,24,0,1.0,80,102,1.0048,3.3333,5,8,8,6,6,3,3,7,7,4,0.9609,1,24,21,24,16,10,63,2.183,0.8621,10.0,27.5001,10.7,1.0,2.0,0.0,2.0,5.85
1775592006,Classic,ArenaClassic,Player,BossDeath,73.5977,100,0,100,42,Boss,2.4644,4,19,18,1,0.9474,58,100,0.7881,3.2222,5,7,7,3,3,3,3,6,5,4,0.9484,2,16,19,23,12,14,66,2.4148,0.8594,10.0,29.1001,11.2,4.7,0.0,0.0,0.0,7.65
1775592085,Classic,ArenaClassic,Player,BossDeath,57.9213,100,0,100,47,Player,1.8379,2,16,15,1,0.9375,53,100,0.915,3.5333,5,4,4,6,5,2,2,4,4,4,0.9528,2,15,17,26,12,12,41,1.9373,0.8499,10.0,25.5001,8.6,0.7,0.0,0.0,0.0,4.5
1775592148,Classic,ArenaClassic,Player,BossDeath,109.7103,100,0,100,30,Player,2.0436,2,24,21,3,0.875,70,102,0.638,3.3333,5,7,7,7,5,3,3,7,6,4,0.9652,2,11,20,20,8,7,167,3.6715,0.8599,12.5326,24.3001,15.5,15.7,36.2,39.4,40.6,10.2333
1775592264,Classic,ArenaClassic,Player,BossDeath,51.5025,100,0,100,50,Player,2.2692,2,14,14,0,1.0,50,100,0.9708,3.5714,5,4,4,4,4,3,3,3,3,4,0.9926,1,14,15,18,5,8,27,1.758,0.8594,10.0,27.0001,6.9,0.8,0.0,0.0,0.0,3.65
1775592321,Classic,ArenaClassic,Player,BossDeath,72.2203,100,0,100,35,Player,1.7537,2,22,19,3,0.8636,65,100,0.9,3.4211,5,9,7,4,4,4,4,5,4,4,0.9538,3,12,19,22,8,8,60,2.262,0.8643,10.0,25.4001,13.0,1.1,0.0,0.0,0.0,8.4167
1775592398,Classic,ArenaClassic,Boss,PlayerDeath,95.9384,100,2,100,0,Boss,1.8548,3,33,31,2,0.9394,103,98,1.0736,3.3226,5,10,10,9,9,2,2,12,10,4,0.9045,3,15,29,36,14,12,55,1.8844,0.8569,10.0,36.4,20.5,0.7,0.0,0.0,0.0,4.6667
1775592500,Classic,ArenaClassic,Player,BossDeath,126.353,100,0,100,12,Player,1.6863,2,34,29,5,0.8529,88,100,0.6965,3.0345,5,7,7,9,5,4,4,14,13,4,0.9337,2,16,28,24,16,16,148,2.7742,0.8608,10.0,36.1,19.9,8.2,19.5,22.6001,28.8001,12.75
1775592633,Classic,ArenaClassic,Player,BossDeath,46.5672,100,0,100,54,Boss,1.8339,3,14,14,0,1.0,46,100,0.9878,3.2857,5,5,5,3,3,2,2,4,4,4,0.9621,2,14,12,17,7,7,34,2.0567,0.8609,10.0,20.1,7.0,0.7,0.0,0.0,0.0,3.6
1775592684,Classic,ArenaClassic,Player,BossDeath,63.1656,100,0,100,48,Player,2.799,2,19,15,4,0.7895,52,100,0.8232,3.4667,5,7,4,4,4,3,3,5,4,4,0.9656,1,6,18,36,13,15,19,1.5448,0.859,10.0,29.3001,9.2,0.6,0.0,0.0,0.0,3.7833
1775592826,Classic,ArenaClassic,Player,BossDeath,109.1833,100,0,100,25,Boss,2.3833,2,25,23,2,0.92,75,100,0.6869,3.2609,5,8,7,5,4,5,5,7,7,4,0.9845,2,14,19,19,9,7,146,3.9527,0.8602,11.1283,26.0001,12.8,22.2001,32.9001,33.0001,37.6,9.9
1775592943,Classic,ArenaClassic,Player,BossDeath,89.497,100,0,100,10,Player,2.0803,2,30,27,3,0.9,90,100,1.0056,3.3333,5,7,7,8,5,7,7,8,8,4,0.9984,2,17,26,34,16,18,47,1.9166,0.8621,10.0,37.4,16.2,0.8,0.0,0.0,0.0,4.9167
1775593038,Classic,ArenaClassic,Player,BossDeath,95.8289,100,0,100,8,Boss,2.1456,3,29,27,2,0.931,92,100,0.96,3.4074,5,12,12,7,6,4,4,6,5,4,0.9431,2,16,26,38,18,15,65,2.1442,0.8581,10.0,32.7001,15.0,2.7,1.6,0.0,1.6,7.8
1775593139,Classic,ArenaClassic,Player,BossDeath,38.1805,100,0,100,56,Player,1.6305,2,13,12,1,0.9231,44,102,1.1524,3.6667,5,3,2,4,4,3,3,3,3,4,0.9939,2,7,11,12,3,3,26,2.0689,0.8597,10.0,16.1,6.4,0.7,0.0,0.0,0.0,2.7833
1775593182,Classic,ArenaClassic,Player,BossDeath,51.1151,100,0,100,63,Boss,2.0651,2,14,11,3,0.7857,37,100,0.7239,3.3636,5,3,3,5,4,0,0,6,4,3,0.9657,2,7,13,21,7,7,41,2.3533,0.845,10.0,20.6,7.1,4.1,0.0,0.0,0.0,7.7834
1775593238,Classic,ArenaClassic,Player,BossDeath,145.0248,100,0,100,8,Boss,2.0914,2,33,29,4,0.8788,92,100,0.6344,3.1724,5,4,4,9,8,3,3,17,14,4,0.8438,2,14,32,28,20,14,174,3.4239,0.8627,10.0,33.6001,18.7,17.4,51.2998,59.6997,62.6996,11.0333
